size,sort_name,array_type,average_time
500,Hybrid Merge+Insertion Sort,random,0
600,Hybrid Merge+Insertion Sort,random,0
700,Hybrid Merge+Insertion Sort,random,0
800,Hybrid Merge+Insertion Sort,random,0
900,Hybrid Merge+Insertion Sort,random,0
1000,Hybrid Merge+Insertion Sort,random,0
1100,Hybrid Merge+Insertion Sort,random,0
1200,Hybrid Merge+Insertion Sort,random,0
1300,Hybrid Merge+Insertion Sort,random,0
1400,Hybrid Merge+Insertion Sort,random,0
1500,Hybrid Merge+Insertion Sort,random,0
1600,Hybrid Merge+Insertion Sort,random,0
1700,Hybrid Merge+Insertion Sort,random,0
1800,Hybrid Merge+Insertion Sort,random,0
1900,Hybrid Merge+Insertion Sort,random,0
2000,Hybrid Merge+Insertion Sort,random,0
2100,Hybrid Merge+Insertion Sort,random,0
2200,Hybrid Merge+Insertion Sort,random,0
2300,Hybrid Merge+Insertion Sort,random,0
2400,Hybrid Merge+Insertion Sort,random,0
2500,Hybrid Merge+Insertion Sort,random,0
2600,Hybrid Merge+Insertion Sort,random,0
2700,Hybrid Merge+Insertion Sort,random,0
2800,Hybrid Merge+Insertion Sort,random,0
2900,Hybrid Merge+Insertion Sort,random,0
3000,Hybrid Merge+Insertion Sort,random,0
3100,Hybrid Merge+Insertion Sort,random,1
3200,Hybrid Merge+Insertion Sort,random,1
3300,Hybrid Merge+Insertion Sort,random,1
3400,Hybrid Merge+Insertion Sort,random,1
3500,Hybrid Merge+Insertion Sort,random,1
3600,Hybrid Merge+Insertion Sort,random,1
3700,Hybrid Merge+Insertion Sort,random,1
3800,Hybrid Merge+Insertion Sort,random,1
3900,Hybrid Merge+Insertion Sort,random,1
4000,Hybrid Merge+Insertion Sort,random,1
4100,Hybrid Merge+Insertion Sort,random,1
4200,Hybrid Merge+Insertion Sort,random,1
4300,Hybrid Merge+Insertion Sort,random,1
4400,Hybrid Merge+Insertion Sort,random,1
4500,Hybrid Merge+Insertion Sort,random,1
4600,Hybrid Merge+Insertion Sort,random,1
4700,Hybrid Merge+Insertion Sort,random,1
4800,Hybrid Merge+Insertion Sort,random,1
4900,Hybrid Merge+Insertion Sort,random,1
5000,Hybrid Merge+Insertion Sort,random,1
5100,Hybrid Merge+Insertion Sort,random,1
5200,Hybrid Merge+Insertion Sort,random,1
5300,Hybrid Merge+Insertion Sort,random,1
5400,Hybrid Merge+Insertion Sort,random,1
5500,Hybrid Merge+Insertion Sort,random,1
5600,Hybrid Merge+Insertion Sort,random,1
5700,Hybrid Merge+Insertion Sort,random,1
5800,Hybrid Merge+Insertion Sort,random,1
5900,Hybrid Merge+Insertion Sort,random,2
6000,Hybrid Merge+Insertion Sort,random,2
6100,Hybrid Merge+Insertion Sort,random,2
6200,Hybrid Merge+Insertion Sort,random,2
6300,Hybrid Merge+Insertion Sort,random,2
6400,Hybrid Merge+Insertion Sort,random,2
6500,Hybrid Merge+Insertion Sort,random,2
6600,Hybrid Merge+Insertion Sort,random,2
6700,Hybrid Merge+Insertion Sort,random,2
6800,Hybrid Merge+Insertion Sort,random,2
6900,Hybrid Merge+Insertion Sort,random,2
7000,Hybrid Merge+Insertion Sort,random,2
7100,Hybrid Merge+Insertion Sort,random,2
7200,Hybrid Merge+Insertion Sort,random,2
7300,Hybrid Merge+Insertion Sort,random,2
7400,Hybrid Merge+Insertion Sort,random,2
7500,Hybrid Merge+Insertion Sort,random,2
7600,Hybrid Merge+Insertion Sort,random,2
7700,Hybrid Merge+Insertion Sort,random,2
7800,Hybrid Merge+Insertion Sort,random,2
7900,Hybrid Merge+Insertion Sort,random,2
8000,Hybrid Merge+Insertion Sort,random,2
8100,Hybrid Merge+Insertion Sort,random,2
8200,Hybrid Merge+Insertion Sort,random,2
8300,Hybrid Merge+Insertion Sort,random,3
8400,Hybrid Merge+Insertion Sort,random,2
8500,Hybrid Merge+Insertion Sort,random,3
8600,Hybrid Merge+Insertion Sort,random,2
8700,Hybrid Merge+Insertion Sort,random,3
8800,Hybrid Merge+Insertion Sort,random,3
8900,Hybrid Merge+Insertion Sort,random,3
9000,Hybrid Merge+Insertion Sort,random,3
9100,Hybrid Merge+Insertion Sort,random,3
9200,Hybrid Merge+Insertion Sort,random,4
9300,Hybrid Merge+Insertion Sort,random,3
9400,Hybrid Merge+Insertion Sort,random,3
9500,Hybrid Merge+Insertion Sort,random,3
9600,Hybrid Merge+Insertion Sort,random,3
9700,Hybrid Merge+Insertion Sort,random,3
9800,Hybrid Merge+Insertion Sort,random,3
